1055942898884038656,The majority of the world condemn the Israeli Zionist's and the American supporters the only ones that don't get is is the Americans https://t.co/A8SioPLwJt
1053636982075666434,@tangMouton @lingshuang 你让民主大国印度情何以堪？😂😂
1049092267959410689,@baozi1984 @Chinaanticult 你瞎吗？谁都看得出来是个赤手空拳的女子。
1017813970067968000,@VOAYYH 自由之地怎么会发送这样的事情？
1039174014957047808,@wangdan1989 王丹，89里被你害死的同学晚上有没有找你啊？自己倒躲起来吃了这么多年的洋狗饭，舒服呀？
1102374898821820416,@13780000Com @tengbiao 硬盘，内存值多少钱？台湾就没有一家像样的互联网公司，再过20年台湾估计就比西藏、新疆之类好点。
1040237180197560321,@nytchinese 找半天只找到两个街上巡逻治安警察的照片，可见造个谣是有多难😂
1094981771257475072,RT @FinancialTimes: What history tells us about the US-China conflict https://t.co/95fC97NzX2
1091031135482769409,ZTE appears to be getting ready to launch smartphone with 32MP front camera
https://t.co/jd8oze9PbY https://t.co/J3KxjqjZi1
1092401403002216449,@Wusangui2 还是先把狗皮洗白再说吧，不行重新投个胎？
1063709541659926530,@ihuxbb168 @titianxindao1 这傻逼，靠当网红挣了不少钱就开始飘了。
1037372763864887297,@Myfriend_Aaron @VOAChinese 总结成一句话就是婊子立牌坊，外表光鲜得很
1072111926962876417,@Zuo_Limi 1937年入伍？老八路，还在世已经是国宝了。
1072486647990759427,良媒 https://t.co/riGIoeqMuK
1091354611783393282,@gantaidu @71mzx 哈哈哈，狗的本性
1115995283437973509,@Dr_Harry_Young @jay1sb1 @MCIIIIIIII @luckbringers @Hakuoro_Iceman 是艹你妈吧？
1062927625121816577,RT @nytchinese: 澳大利亚维多利亚州政府悄悄地避开联邦监管机构，与中国签署了“一带一路”基础设施项目一事，给了总理莫里森一个措手不及。
莫里森表示，维州政府在没有讨论的情况下，让州政府卷入一项“与国际关系有关的事物”，令他“吃惊”。https://t.co/KvI…
1082713693073203200,Unfortunately we can not shame these satanic creatures they would have to be capable of human feelings and emotions something they are not capable of https://t.co/OBQAlR3XVh
1095568500335104001,今日最佳 https://t.co/kSik1UMp5c
1100770376034832384,@VOAChinese 逗比，不过青屎留恶名也算了不起。
1047365568188182528,@Bilishe 两个都是神经病
1039910205041995776,@nytchinese 美国的方式就像西医治疗，给你用抗生素清除所以的病毒，但万万没想到却培养出更厉害的病毒。
1073920695682269185,@USA_China_Talk 美国热爱叙利亚人民，让他们无家可归，还为他们培养了ISIS，更让他们尝到了化学武器的滋味。
1032274429332488193,@SJzlwTJr56v4Aw0 @GaoFalin 这就是你对儒家思想的理解？无知不怪你，多读点书就会好。
1041141899753488385,@RFI_Cn ps技术很高啊
1017070384246489088,@szstupidcool 是啊，一不小心就戴了各种帽子了。 但是看到你们如此着急上火的样子，我还是很欣慰的。
